Di,Df,Dif,V_cell (A^3),density (g/cm^3),ASA (A^2),ASA (m^2/cm^3),ASA (m^2/g),NASA (A^2),NASA (m^2/cm^3),NASA (m^2/g),V_cell_2 (A^3),density_2 (g/cm^3),AV (A^3),AVF,AV (cm^3/g),NAV (A^3),NAVF,NAV (cm^3/g),f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,label,ID
9.85231,9.71816,9.85231,2819.59,1.08868,258.378,916.368,841.724,0.0,0.0,0.0,2819.59,1.08868,451.134,0.16,0.146967,0.0,0.0,0.0,160.75480000000002,295.57000000000005,502.62599999999975,696.3323999999999,3064.0,5716.0,6556.0,5776.0,22.0,44.0,72.0,92.0,116.0,280.0,340.0,328.0,14.911,31.8428,49.1544,55.52599999999999,2.7225,20.922,24.667499999999997,49.071,900.0,1170.0,930.0,1470.0,1.0,4.0,6.0,12.0,16.0,40.0,72.0,104.0,1.7161000000000002,4.2182,5.528200000000001,9.432000000000002,0.0,-6.079999999999999,-5.050000000000001,-9.94,0.0,81.0,149.0,311.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,22.0,0.0,2.02,3.64,8.52,181.4379,371.2290000000002,627.1502,765.6033999999999,636.0,1344.0,1844.0,1936.0,29.0,58.0,100.0,124.0,158.0,388.0,522.0,556.0,10.6293,25.51780000000001,37.65080000000001,43.18920000000001,10.1056,13.26,30.935200000000005,35.51226666666667,54.0,72.0,119.0,151.66666666666669,1.0,1.6666666666666667,4.0,4.333333333333334,3.0,10.333333333333332,15.666666666666664,17.0,0.5526333333333334,0.957366666666667,1.7899999999999994,2.0649,45.870000000000005,131.45666666666668,224.28102333333345,239.86517499999997,0.0,0.9500000000000004,2.513333333333334,2.233333333333334,0.0,2.0,12.333333333333334,10.333333333333332,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,-1.3333333333333333,-2.0,0.0,-0.04,0.5866666666666668,0.4599999999999999,0.0,-7.200000000000002,-3.678516666666667,-4.642813333333335,11.8336,8.771999999999997,20.605599999999992,26.797599999999992,64.0,48.0,112.0,112.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,7.0,0.5328999999999998,0.5621,1.0950000000000002,1.3797,28.089999999999996,59.88999999999999,87.98,122.99768300000004,0.0,0.8900000000000005,0.8900000000000005,2.53,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-4.0,0.0,-0.04,-0.04,0.2999999999999999,0.0,-6.000000000000001,-6.000000000000001,-7.307109999999999,1,IBICAZ
5.78505,4.3861,5.78505,3064.49,1.02686,332.193,1084.01,1055.65,0.0,0.0,0.0,3064.49,1.02686,153.224,0.05,0.0486921,0.0,0.0,0.0,462.5057999999996,926.0479999999995,2615.501200000002,3378.0800000000004,5982.0,16832.0,28596.0,34944.0,54.0,136.0,284.0,440.0,444.0,1376.0,2408.0,3072.0,34.72380000000004,104.36080000000004,194.76279999999983,274.6552000000001,2.4025000000000003,31.992,27.79666666666667,68.21033333333332,625.0,1200.0,1983.3333333333333,2566.6666666666665,1.0,6.0,8.0,14.0,36.0,92.0,164.0,220.0,1.9321,6.0882,9.544666666666666,14.465266666666665,0.0,-11.340000000000002,-5.533333333333332,-22.30666666666667,0.0,102.0,120.66666666666669,247.33333333333331,0.0,0.0,0.0,0.0,0.0,20.666666666666668,20.666666666666668,47.333333333333336,0.0,3.96,4.253333333333333,9.053333333333336,276.9766,563.2440000000001,908.3706,1169.013,1189.0,2460.0,3660.0,4044.0,41.0,86.0,138.0,186.0,224.0,566.0,834.0,978.0,18.0209,42.61180000000002,64.45860000000002,78.1962,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,DAWCOV
3.87339,1.02316,3.87339,2315.38,1.66043,0.0,0.0,0.0,13.3378,57.6054,34.693,2315.38,1.66043,0.0,0.0,0.0,0.0,0.0,0.0,118.1017,211.3632,422.655,647.4959999999999,2931.0,5112.0,6510.0,3528.0,15.0,30.0,52.0,78.0,86.0,236.0,300.0,214.0,10.2198,23.445,38.21840000000001,44.3982,2.8561,32.8536,34.476,62.597600000000014,2304.0,2160.0,2304.0,2976.0,1.0,6.0,8.0,15.0,36.0,90.0,144.0,186.0,2.1904,6.571199999999999,9.1168,13.482799999999994,0.0,-9.3,-6.879999999999997,-11.689999999999998,0.0,243.0,336.0,658.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,59.0,0.0,4.44,5.68,13.09,140.49615999999995,274.00260000000003,442.46272,480.9151999999999,610.0,1204.8,1794.4,1676.0,19.6,40.4,62.4,73.6,102.8,248.4,337.6,352.8,8.645799999999998,19.973800000000004,28.97696,30.736480000000007,10.5376,12.137999999999996,24.742799999999992,19.33599999999999,56.5,66.0,105.0,76.0,1.0,1.5,3.0,2.5,2.5,7.5,10.0,8.0,0.5477,0.8585500000000001,1.4025,1.1283500000000002,41.425,113.56500000000004,160.96261400000003,135.05261399999998,0.0,0.9350000000000004,1.7750000000000004,1.9750000000000003,0.0,2.0,8.0,8.5,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.5,0.0,-0.04,0.3399999999999999,0.33,0.0,-6.9,-4.007110000000001,-5.057110000000001,7.41935,4.902375,18.261875,9.80475,38.375,26.25,95.0,52.5,0.5,0.5,1.375,1.0,0.5,1.875,2.375,3.0,0.25565,0.275275,0.7199625000000001,0.55055,8.7566,23.3345,37.336450000000006,46.669,0.0,0.6475000000000001,0.6475000000000001,1.2950000000000002,0.0,1.375,1.375,2.75,0.0,0.0,0.0,0.0,0.0,-1.375,-1.0,-2.0,0.0,-0.0275,-0.0275,-0.055,0.0,-3.585000000000001,-3.585000000000001,-7.170000000000002,1,YIHBIC
4.91962,2.33774,4.87045,3762.23,2.53616,0.0,0.0,0.0,25.5106,67.8072,26.7362,3762.23,2.53616,0.0,0.0,0.0,0.0,0.0,0.0,1932.700799999996,4278.230399999995,17194.09439999999,26383.03679999999,79472.0,164400.0,388304.0,477600.0,240.0,688.0,1952.0,3552.0,2768.0,10080.0,22576.0,35344.0,160.95840000000064,568.3183999999995,1369.1392000000014,2360.6240000000007,1.4883999999999995,37.03920000000001,38.85699999999999,112.87439999999994,4356.0,4653.0,14949.0,12573.0,1.0,9.0,14.0,30.5,81.0,234.0,513.0,684.0,2.788899999999999,11.022,20.75810000000001,33.959450000000004,0.0,-19.38,-14.77,-55.30999999999996,0.0,523.5,697.5,1822.5,0.0,0.0,0.0,0.0,0.0,55.0,69.0,198.5,0.0,8.43,10.95,30.60000000000001,101.94599999999996,172.07400000000004,279.26739999999984,275.63879999999995,453.0,744.0,988.0,768.0,13.0,24.0,38.0,36.0,62.0,136.0,136.0,112.0,5.613299999999998,11.457600000000006,15.170999999999998,13.352399999999994,11.228799999999998,10.342799999999992,25.657359999999983,29.38218666666666,60.5,56.4,112.0,107.46666666666664,1.0,1.2333333333333334,2.9333333333333336,3.233333333333333,1.7,6.033333333333334,8.5,4.933333333333334,0.5398066666666668,0.7004433333333338,1.3679999999999994,1.3449033333333338,34.31300000000002,84.93833333333332,137.6031064,103.30178060000004,0.0,0.9110000000000004,1.6950000000000005,1.8346666666666651,0.0,2.0,7.599999999999999,10.566666666666668,0.0,0.0,0.0,0.0,0.0,-2.466666666666667,-1.8333333333333333,0.1666666666666666,0.0,-0.04,0.3146666666666666,0.5553333333333332,0.0,-6.419999999999999,-3.719969333333332,1.5657646666666658,7.889066666666665,5.847999999999996,13.737066666666658,17.0624,42.66666666666666,32.0,74.66666666666667,48.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,2.0,3.333333333333333,2.6666666666666665,0.3552666666666665,0.3747333333333333,0.7300000000000001,0.7251333333333333,18.72666666666666,39.92666666666666,58.653333333333336,57.99691066666668,0.0,0.5933333333333336,0.5933333333333336,1.92,0.0,1.3333333333333333,1.3333333333333333,10.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-2.0,-0.6666666666666666,0.0,-0.0266666666666666,-0.0266666666666666,0.4666666666666665,0.0,-4.000000000000001,-4.000000000000001,-0.3428133333333338,1,ZETPUL
2.15464,0.80144,1.41441,1121.03,1.6488,0.0,0.0,0.0,0.0,0.0,0.0,1121.03,1.6488,0.0,0.0,0.0,0.0,0.0,0.0,316.09739999999994,622.05,1798.9824,1811.969999999999,2154.0,7152.0,11940.0,11664.0,44.0,104.0,218.0,248.0,356.0,1096.0,1684.0,1624.0,23.64440000000001,73.22320000000003,127.0338,141.5456,1.0,27.12,18.85,33.550000000000004,400.0,1260.0,1240.0,1400.0,1.0,8.0,8.0,12.0,64.0,168.0,232.0,232.0,2.9241,10.0206,12.141000000000002,14.1588,0.0,-19.12,-10.849999999999998,-21.55,0.0,97.0,98.0,170.0,0.0,0.0,0.0,0.0,0.0,43.0,35.0,67.0,0.0,7.82,6.579999999999998,12.239999999999997,116.6135,212.874,324.5333999999999,355.9434,560.0,1020.0,1470.0,1440.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,212.0,7.2551,15.630999999999997,21.798,22.5614,11.488,9.669599999999996,20.990719999999992,21.40192,62.0,52.8,98.8,112.4,1.0,1.133333333333333,2.266666666666666,2.4000000000000004,1.3999999999999997,4.199999999999999,6.133333333333334,8.0,0.5368466666666666,0.6411533333333334,1.1245333333333336,1.3074133333333335,31.64599999999999,74.20333333333333,105.8535762,135.50168186666667,0.0,0.902,1.3293333333333333,1.5480000000000005,0.0,2.0,4.933333333333333,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.733333333333334,0.0,-0.04,0.1346666666666666,-0.0133333333333333,0.0,-6.240000000000001,-4.809984666666668,-9.454281333333332,3.0805333333333333,7.752,19.091200000000004,0.0,16.333333333333332,42.0,35.0,0.0,0.3333333333333333,1.0,2.6666666666666665,0.0,3.0,11.0,8.0,0.0,0.1875,0.5775,0.8299999999999997,0.0,18.25333333333333,83.62,90.89609933333335,0.0,0.0,0.4900000000000002,1.8266666666666664,0.0,0.0,1.0,13.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,5.333333333333333,0.0,0.0,-0.02,0.8933333333333332,0.0,0.0,-3.9,7.450076666666669,0.0,0,KAYBIX
4.01876,2.75996,3.94217,1207.74,1.51091,0.0,0.0,0.0,5.46794,45.2742,29.9648,1207.74,1.51091,0.0,0.0,0.0,0.0,0.0,0.0,350.6464,829.1783999999998,1748.9304,2819.3648,5176.0,11544.0,20792.0,27684.0,44.0,112.0,224.0,348.0,336.0,1000.0,1888.0,2596.0,30.485600000000005,82.3992,161.3640000000001,229.4496000000001,3.61,29.64,47.32899999999999,66.766,841.0,1044.0,1682.0,2842.0,1.0,5.0,9.0,13.0,25.0,70.0,125.0,170.0,1.9044,5.147399999999999,9.453,13.3584,0.0,-6.1000000000000005,-7.810000000000002,-10.44,0.0,109.0,203.0,279.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,31.0,0.0,3.1699999999999995,5.569999999999999,8.259999999999998,106.01763333333334,214.75240000000005,320.45220000000006,323.7065333333332,457.3333333333333,940.0,1222.0,957.3333333333334,15.0,30.666666666666668,46.66666666666666,50.66666666666666,77.33333333333333,185.33333333333331,240.66666666666663,221.33333333333331,6.584166666666666,15.02173333333334,20.580666666666676,18.6768,9.6736,15.375066666666664,24.638266666666667,18.792266666666663,51.5,82.66666666666667,113.16666666666669,81.66666666666667,1.0,1.8333333333333333,3.0,2.1666666666666665,3.5,9.166666666666666,12.333333333333334,6.333333333333333,0.5575666666666667,1.0461833333333337,1.51,1.02125,50.315000000000005,130.10833333333335,180.08840933333332,103.265076,0.0,0.6383333333333336,1.28,0.6716666666666669,0.0,1.3333333333333333,5.5,4.166666666666667,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-0.8333333333333334,0.5,0.0,-0.0266666666666666,0.2233333333333333,0.2499999999999999,0.0,-4.9,-3.621406666666667,0.6785933333333336,7.025066666666667,9.085066666666666,12.533066666666665,9.555733333333333,37.66666666666666,48.66666666666666,67.66666666666667,51.333333333333336,0.6666666666666666,1.0,1.3333333333333333,1.0,1.6666666666666667,3.6666666666666665,4.666666666666667,3.333333333333333,0.3651333333333333,0.5623666666666667,0.7450000000000001,0.5575,27.61666666666667,56.470000000000006,75.45333333333333,54.02,0.0,0.2966666666666667,0.4600000000000001,0.43,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,-1.0,0.0,-0.0133333333333333,-0.02,-0.02,0.0,-2.0000000000000004,-3.3000000000000007,-2.7000000000000006,1,ADABUE
5.46353,5.02071,5.45744,957.959,1.09583,113.874,1188.71,1084.76,0.0,0.0,0.0,957.959,1.09583,47.8979,0.05,0.0456275,0.0,0.0,0.0,159.2102,303.5455999999999,880.2257999999999,922.4703999999996,1124.0,3296.0,5914.0,5024.0,18.0,44.0,92.0,116.0,140.0,412.0,650.0,556.0,11.149599999999998,32.14919999999999,57.59939999999997,60.414800000000014,2.5921000000000003,33.2304,26.0981,38.5756,169.0,624.0,507.0,728.0,1.0,6.0,7.0,8.0,36.0,84.0,120.0,120.0,1.5876,5.518800000000001,6.400800000000001,7.56,0.0,-10.98,-4.939999999999999,-11.079999999999998,0.0,30.0,52.0,48.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,28.0,0.0,3.1800000000000006,3.74,4.080000000000001,83.02439999999999,131.63099999999997,188.4004,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.777,9.1938,11.2792,9.256800000000002,11.8336,5.847999999999999,13.737066666666664,10.893333333333333,64.0,32.0,74.66666666666667,37.333333333333336,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,2.6666666666666665,2.6666666666666665,0.5328999999999998,0.3747333333333333,0.73,0.5548000000000001,28.089999999999996,39.92666666666666,58.653333333333336,55.85178866666667,0.0,0.5933333333333336,0.5933333333333336,1.4199999999999997,0.0,1.3333333333333333,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.3333333333333333,-1.3333333333333333,0.0,-0.0266666666666666,-0.0266666666666666,0.2133333333333332,0.0,-4.000000000000001,-4.000000000000001,-3.471406666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DOYBEA
4.53104,2.17536,4.53104,1659.54,1.56896,0.0,0.0,0.0,45.6201,274.895,175.209,1659.54,1.56896,0.0,0.0,0.0,0.0,0.0,0.0,541.7118,1034.1480000000004,2586.2128000000007,3092.431999999999,8422.0,17536.0,24790.0,27280.0,82.0,168.0,340.0,432.0,520.0,1384.0,2006.0,2592.0,33.94260000000003,94.24560000000004,158.85320000000002,214.1935999999999,1.2100000000000002,30.272,22.88,53.79,3249.0,3648.0,5415.0,6498.0,1.0,8.0,9.0,16.0,64.0,152.0,224.0,328.0,2.8561,9.8696,11.914499999999997,20.21240000000001,0.0,-18.72,-10.899999999999997,-31.3,0.0,392.0,418.0,798.0,0.0,0.0,0.0,0.0,0.0,45.0,44.0,87.0,0.0,7.68,8.16,15.079999999999998,139.2968,238.67999999999992,376.4883999999999,464.7213999999999,1700.0,1776.0,2992.0,4876.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,10.7952,20.0816,30.6832,39.50979999999999,11.8336,6.822666666666666,15.415022222222218,23.736,64.0,37.333333333333336,83.55555555555556,85.33333333333333,1.0,0.7777777777777778,1.5555555555555556,2.888888888888889,0.7777777777777778,2.333333333333333,4.444444444444445,6.888888888888889,0.5328999999999998,0.4371888888888889,0.8581555555555554,1.2345111111111111,28.09,46.58111111111111,73.37555555555555,125.0124662222222,0.0,0.6922222222222225,0.8700000000000002,3.0377777777777784,0.0,1.5555555555555556,2.0,12.444444444444445,0.0,0.0,0.0,0.0,0.0,-1.5555555555555556,-2.888888888888889,-4.0,0.0,-0.0311111111111111,-0.04,0.4177777777777777,0.0,-4.666666666666668,-5.6000000000000005,-8.27614666666667,7.572800000000001,13.074888888888886,31.632385185185186,19.07308148148148,101.44444444444444,86.0,123.40740740740742,170.70370370370372,0.7777777777777778,1.6666666666666667,4.222222222222222,2.5185185185185186,4.333333333333333,15.666666666666666,16.51851851851852,7.037037037037036,0.5435740740740741,1.0092703703703705,1.7163777777777771,1.300274074074074,81.68222222222222,158.70222222222225,235.5980817777778,236.92422607407408,0.0,0.8774074074074076,2.6622222222222214,1.7262962962962964,0.0,4.333333333333333,21.85185185185185,16.85185185185185,0.0,0.0,0.0,0.0,0.0,-1.5555555555555556,4.592592592592592,0.8148148148148151,0.0,0.0274074074074073,1.124444444444444,0.6718518518518519,0.0,-4.7888888888888905,8.18104,5.534964444444444,0,GADDOH
3.94,2.93212,3.94,2408.8,1.39752,0.0,0.0,0.0,1.59261,6.61164,4.73096,2408.8,1.39752,0.0,0.0,0.0,0.0,0.0,0.0,83.88789999999999,139.872,202.3112,299.472,1342.0,2328.0,2978.0,1632.0,11.0,20.0,28.0,36.0,48.0,112.0,126.0,88.0,7.464300000000001,14.623600000000003,21.0468,20.482000000000003,2.7225,21.384,25.245,54.351,900.0,900.0,1080.0,1800.0,1.0,4.0,6.0,12.0,16.0,40.0,72.0,88.0,1.7161000000000002,3.8776,6.052200000000001,9.7988,0.0,-6.360000000000001,-5.4,-13.140000000000004,0.0,90.0,144.0,300.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,26.0,0.0,2.28,3.24,8.24,223.081,475.3482666666668,763.5614666666664,864.5830000000001,930.0,2042.6666666666667,2914.6666666666665,2776.0,33.333333333333336,70.66666666666667,113.33333333333331,136.66666666666666,184.0,457.3333333333333,657.3333333333334,704.6666666666666,14.313733333333335,34.46626666666668,51.24760000000001,55.84993333333335,10.5376,12.137999999999996,26.232399999999988,12.647999999999996,56.5,66.0,112.0,69.0,1.0,1.5,3.0,1.5,2.5,7.5,9.0,7.0,0.5477,0.8585500000000001,1.3875,0.8508500000000001,41.425,113.56500000000004,132.10261400000002,101.7,0.0,0.9350000000000004,1.285,1.1350000000000005,0.0,2.0,7.0,2.5,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5,-3.0,0.0,-0.04,0.3599999999999999,-0.05,0.0,-6.9,-0.10711,-7.950000000000001,10.5376,14.820799999999991,29.363599999999995,21.274,56.5,80.0,129.5,86.5,1.0,1.75,3.5,2.75,3.75,11.25,15.25,11.25,0.5477,0.9954250000000004,1.68375,1.2727250000000003,41.425,120.04000000000003,188.34261400000003,155.95761400000004,0.0,0.8125000000000002,1.7750000000000004,2.0975,0.0,1.75,8.0,8.75,0.0,0.0,0.0,0.0,0.0,-1.5,0.25,-1.0,0.0,-0.035,0.3399999999999999,0.3249999999999999,0.0,-5.925,-4.007110000000001,-6.032110000000001,1,ILOJEZ
1.79341,1.08537,1.73906,1135.44,1.62788,0.0,0.0,0.0,0.0,0.0,0.0,1135.44,1.62788,0.0,0.0,0.0,0.0,0.0,0.0,316.09739999999994,622.05,1798.9824,1811.969999999999,2154.0,7152.0,11940.0,11664.0,44.0,104.0,218.0,248.0,356.0,1096.0,1684.0,1624.0,23.64440000000001,73.22320000000005,127.0338,141.54560000000006,1.0,27.12,18.85,33.55,400.0,1260.0,1240.0,1400.0,1.0,8.0,8.0,12.0,64.0,168.0,232.0,232.0,2.9241,10.0206,12.141000000000002,14.1588,0.0,-19.12,-10.849999999999998,-21.55,0.0,97.0,98.0,170.0,0.0,0.0,0.0,0.0,0.0,43.0,35.0,67.0,0.0,7.82,6.579999999999998,12.239999999999998,116.6135,212.874,324.53340000000003,355.60040000000004,560.0,1020.0,1470.0,1430.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,216.0,7.2551,15.631,21.798,22.5774,11.488,9.669599999999996,20.990719999999992,21.260053333333328,62.0,52.8,98.8,107.73333333333332,1.0,1.133333333333333,2.266666666666666,2.4000000000000004,1.3999999999999997,4.199999999999999,6.133333333333334,7.466666666666668,0.5368466666666666,0.6411533333333334,1.1245333333333336,1.2674133333333333,31.64599999999999,74.20333333333333,105.8535762,128.79936373333334,0.0,0.902,1.3293333333333333,1.5946666666666671,0.0,2.0,4.933333333333333,4.666666666666667,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.4666666666666663,0.0,-0.04,0.1346666666666666,0.0399999999999999,0.0,-6.240000000000001,-4.809984666666668,-8.548562666666667,3.0805333333333333,7.752,19.091200000000004,0.0,16.333333333333332,42.0,35.0,0.0,0.3333333333333333,1.0,2.6666666666666665,0.0,3.0,11.0,8.0,0.0,0.1875,0.5775,0.8299999999999997,0.0,18.25333333333333,83.62,90.89609933333334,0.0,0.0,0.4900000000000002,1.8266666666666664,0.0,0.0,1.0,13.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,5.333333333333333,0.0,0.0,-0.02,0.8933333333333332,0.0,0.0,-3.9,7.450076666666669,0.0,0,KAYBUJ
